,Days Since 100 Cases,Doubles in N Days,Reference Cases
471,81,Doubles in 5 Days,7528109.539308618
472,82,Doubles in 5 Days,8647527.044041296
473,83,Doubles in 5 Days,9933400.090282612
474,84,Doubles in 5 Days,11410480.343235036
475,85,Doubles in 5 Days,13107200.000000091
476,86,Doubles in 5 Days,15056219.078617243
477,87,Doubles in 5 Days,17295054.088082604
478,88,Doubles in 5 Days,19866800.180565234
479,89,Doubles in 5 Days,22820960.686470084
480,90,Doubles in 5 Days,26214400.000000194
481,91,Doubles in 5 Days,30112438.1572345
482,92,Doubles in 5 Days,34590108.17616522
483,93,Doubles in 5 Days,39733600.36113048
484,94,Doubles in 5 Days,45641921.37294018
485,95,Doubles in 5 Days,52428800.0000004
486,96,Doubles in 5 Days,60224876.31446902
487,97,Doubles in 5 Days,69180216.35233046
488,98,Doubles in 5 Days,79467200.72226098
489,99,Doubles in 5 Days,91283842.7458804
490,100,Doubles in 5 Days,104857600.00000085
491,101,Doubles in 5 Days,120449752.62893808
492,102,Doubles in 5 Days,138360432.70466098
493,103,Doubles in 5 Days,158934401.44452205
494,104,Doubles in 5 Days,182567685.49176088
495,105,Doubles in 5 Days,209715200.0000018
496,106,Doubles in 5 Days,240899505.25787628
497,107,Doubles in 5 Days,276720865.4093221
498,108,Doubles in 5 Days,317868802.8890442
499,109,Doubles in 5 Days,365135370.9835219
500,110,Doubles in 5 Days,419430400.0000037
501,111,Doubles in 5 Days,481799010.5157527
502,112,Doubles in 5 Days,553441730.8186443
503,113,Doubles in 5 Days,635737605.7780886
504,114,Doubles in 5 Days,730270741.9670439
505,115,Doubles in 5 Days,838860800.0000076
506,116,Doubles in 5 Days,963598021.0315056
507,117,Doubles in 5 Days,1106883461.6372888
508,118,Doubles in 5 Days,1271475211.5561774
509,119,Doubles in 5 Days,1460541483.9340882
510,120,Doubles in 5 Days,1677721600.0000157
511,121,Doubles in 5 Days,1927196042.063012
512,122,Doubles in 5 Days,2213766923.2745786
513,123,Doubles in 5 Days,2542950423.112356
514,124,Doubles in 5 Days,2921082967.868178
515,125,Doubles in 5 Days,3355443200.000033
516,126,Doubles in 5 Days,3854392084.126025
517,127,Doubles in 5 Days,4427533846.549159
518,128,Doubles in 5 Days,5085900846.224714
519,129,Doubles in 5 Days,5842165935.736358
520,0,Doubles in 6 Days,100.0
521,1,Doubles in 6 Days,112.2462048309373
522,2,Doubles in 6 Days,125.99210498948733
523,3,Doubles in 6 Days,141.42135623730954
524,4,Doubles in 6 Days,158.74010519682
525,5,Doubles in 6 Days,178.1797436280679
526,6,Doubles in 6 Days,200.00000000000006
527,7,Doubles in 6 Days,224.49240966187466
528,8,Doubles in 6 Days,251.98420997897472
529,9,Doubles in 6 Days,282.84271247461913
530,10,Doubles in 6 Days,317.48021039364005
531,11,Doubles in 6 Days,356.35948725613594
532,12,Doubles in 6 Days,400.0000000000002
533,13,Doubles in 6 Days,448.98481932374943
534,14,Doubles in 6 Days,503.96841995794955
535,15,Doubles in 6 Days,565.6854249492384
536,16,Doubles in 6 Days,634.9604207872802
537,17,Doubles in 6 Days,712.718974512272
538,18,Doubles in 6 Days,800.0000000000007
539,19,Doubles in 6 Days,897.9696386474992
540,20,Doubles in 6 Days,1007.9368399158994
541,21,Doubles in 6 Days,1131.370849898477
542,22,Doubles in 6 Days,1269.9208415745607
543,23,Doubles in 6 Days,1425.4379490245442
544,24,Doubles in 6 Days,1600.0000000000016
545,25,Doubles in 6 Days,1795.9392772949986
546,26,Doubles in 6 Days,2015.8736798317993
